FIPSCode,QB1a
2302166950,
2302168140,
2302181405,
2302185710,
2302301570,
2302303355,
2302306260,
2302306365,
2302327295,
2302358515,
2302362645,
2302376960,
2302381930,
2302387460,
2302501395,
2302501885,
2302505000,
2302507380,
2302509655,
2302509935,
2302510495,
2302514555,
2302517285,
2302517460,
2302523410,
2302524320,
2302531355,
2302531740,
2302532895,
2302535345,
2302542660,
2302545110,
2302547140,
2302547455,
2302549205,
2302549835,
2302556520,
2302559005,
2302559705,
2302562995,
2302564850,
2302568910,
2302569155,
2302569505,
2302573845,
2302576190,
2302582840,
2302703950,
2302704125,
2302707870,
2302709270,
2302726280,
2302726420,
2302735240,
2302735450,
2302737585,
2302739055,
2302739755,
2302746475,
2302746790,
2302747245,
2302752845,
2302756450,
2302761210,
2302766565,
2302766635,
2302774475,
2302775525,
2302776610,
2302777625,
2302778255,
2302779480,
2302786760,
2302900001,
2302900380,
2302900660,
2302902480,
2302902970,
2302903670,
2302903810,
2302909585,
2302912175,
2302912455,
2302913610,
2302913750,
2302913820,
2302914100,
2302914940,
2302915920,
2302916410,
2302916865,
2302917355,
2302920960,
2302921730,
2302928660,
2302931530,
2302935905,
2302936010,
2302941610,
2302941960,
2302942100,
2302943640,
2302944760,
2302945600,
2302951375,
2302957090,
2302957780,
2302958165,
2302961035,
2302963275,
2302963940,
2302974125,
2302975770,
2302976895,
2302978675,
2302979375,
2302981685,
2302985185,
2302985290,
2303100275,
2303100730,
2303101605,
2303104720,
2303104860,
2303109410,
2303114485,
2303116725,
2303122955,
2303133665,
2303136535,
2303136745,
2303137270,
2303138425,
2303139195,
2303139405,
2303141750,
2303148750,
2303150325,
2303154980,
2303155085,
2303156870,
2303164675,
2303165760,
2303167475,
2303170030,
2303180530,
2303181475,
2303187985,
2309999901,
2309999902,
2309999903,
2309999904,
2309999905,
2400100000,18
2400300000,323
2400500000,217
2400900000,29
2401100000,8
2401300000,63
2401500000,28
2401700000,73
2401900000,10
2402100000,89
2402300000,8
2402500000,71
2402700000,174
2402900000,9
2403100000,723
2403300000,199
2403500000,13
2403700000,45
2403900000,2
2404100000,6
2404300000,28
2404500000,15
2404700000,15
2451000000,192
2500103600,14
2500107175,3
2500107980,8
2500112995,6
2500116775,3
2500119295,5
2500123105,25
2500129020,6
2500139100,8
2500151440,5
2500155500,10
2500159735,8
2500170605,2
2500174385,0
2500182525,0
2500300555,1
2500300975,0
2500304545,4
2500313345,0
2500314010,0
2500316180,0
2500321360,0
2500324120,0
2500326815,1
2500328180,0
2500330315,0
2500334340,0
2500334655,0
2500334970,2
2500342460,0
2500343300,0
2500344385,0
2500345420,0
2500346225,1
2500351580,0
2500353050,0
2500353960,6
2500356795,1
2500359665,0
2500360225,0
2500361065,1
2500367595,3
2500371095,0
2500373335,2
